COUNTY_CODE|STATENAME|COUNTY|MA_REGION_CODE|MA_REGION|PDP_REGION_CODE|PDP_REGION
02122|Alaska|Kenai Peninsula|26|Alaska|34|Alaska
02130|Alaska|Ketchikan Gateway|26|Alaska|34|Alaska
02150|Alaska|Kodiak Island|26|Alaska|34|Alaska
02164|Alaska|Lake and Peninsula|26|Alaska|34|Alaska
02170|Alaska|Matanuska-Susitna|26|Alaska|34|Alaska
02180|Alaska|Nome|26|Alaska|34|Alaska
02185|Alaska|North Slope|26|Alaska|34|Alaska
02188|Alaska|Northwest Arctic|26|Alaska|34|Alaska
02195|Alaska|Petersburg|26|Alaska|34|Alaska
02198|Alaska|Prince of Wales-Outer Ketchikan|26|Alaska|34|Alaska
02201|Alaska|Prince of Wales-Outer Ketchikan|26|Alaska|34|Alaska
02220|Alaska|Sitka|26|Alaska|34|Alaska
02230|Alaska|Skagway|26|Alaska|34|Alaska
02232|Alaska|Skagway-Hoonah-Angoon|26|Alaska|34|Alaska
02240|Alaska|Southeast Fairbanks|26|Alaska|34|Alaska
02250|Alaska|Upper Yukon|26|Alaska|34|Alaska
02261|Alaska|Valdez-Cordova|26|Alaska|34|Alaska
02270|Alaska|Kusilvak|26|Alaska|34|Alaska
02275|Alaska|Wrangell|26|Alaska|34|Alaska
02280|Alaska|Wrangell-Petersburg|26|Alaska|34|Alaska
02282|Alaska|Yakutat|26|Alaska|34|Alaska
02290|Alaska|Yukon-Koyukuk|26|Alaska|34|Alaska
03000|Arizona|Apache|21|Arizona|28|Arizona
03010|Arizona|Cochise|21|Arizona|28|Arizona
03020|Arizona|Coconino|21|Arizona|28|Arizona
03030|Arizona|Gila|21|Arizona|28|Arizona
03040|Arizona|Graham|21|Arizona|28|Arizona
03050|Arizona|Greenlee|21|Arizona|28|Arizona
03055|Arizona|La Paz|21|Arizona|28|Arizona
03060|Arizona|Maricopa|21|Arizona|28|Arizona
03070|Arizona|Mohave|21|Arizona|28|Arizona
03080|Arizona|Navajo|21|Arizona|28|Arizona
03090|Arizona|Pima|21|Arizona|28|Arizona
03100|Arizona|Pinal|21|Arizona|28|Arizona
03110|Arizona|Santa Cruz|21|Arizona|28|Arizona
03120|Arizona|Yavapai|21|Arizona|28|Arizona
03130|Arizona|Yuma|21|Arizona|28|Arizona
04000|Arkansas|Arkansas|15|Arkansas and Missouri|19|Arkansas
04010|Arkansas|Ashley|15|Arkansas and Missouri|19|Arkansas
04020|Arkansas|Baxter|15|Arkansas and Missouri|19|Arkansas
04030|Arkansas|Benton|15|Arkansas and Missouri|19|Arkansas
04040|Arkansas|Boone|15|Arkansas and Missouri|19|Arkansas
04050|Arkansas|Bradley|15|Arkansas and Missouri|19|Arkansas
04060|Arkansas|Calhoun|15|Arkansas and Missouri|19|Arkansas
04070|Arkansas|Carroll|15|Arkansas and Missouri|19|Arkansas
04080|Arkansas|Chicot|15|Arkansas and Missouri|19|Arkansas
04090|Arkansas|Clark|15|Arkansas and Missouri|19|Arkansas
04100|Arkansas|Clay|15|Arkansas and Missouri|19|Arkansas
04110|Arkansas|Cleburne|15|Arkansas and Missouri|19|Arkansas
04120|Arkansas|Cleveland|15|Arkansas and Missouri|19|Arkansas
04130|Arkansas|Columbia|15|Arkansas and Missouri|19|Arkansas
04140|Arkansas|Conway|15|Arkansas and Missouri|19|Arkansas
04150|Arkansas|Craighead|15|Arkansas and Missouri|19|Arkansas
04160|Arkansas|Crawford|15|Arkansas and Missouri|19|Arkansas
04170|Arkansas|Crittenden|15|Arkansas and Missouri|19|Arkansas
04180|Arkansas|Cross|15|Arkansas and Missouri|19|Arkansas
04190|Arkansas|Dallas|15|Arkansas and Missouri|19|Arkansas
04200|Arkansas|Desha|15|Arkansas and Missouri|19|Arkansas
04210|Arkansas|Drew|15|Arkansas and Missouri|19|Arkansas
04220|Arkansas|Faulkner|15|Arkansas and Missouri|19|Arkansas
04230|Arkansas|Franklin|15|Arkansas and Missouri|19|Arkansas
04240|Arkansas|Fulton|15|Arkansas and Missouri|19|Arkansas
04250|Arkansas|Garland|15|Arkansas and Missouri|19|Arkansas
04260|Arkansas|Grant|15|Arkansas and Missouri|19|Arkansas
04270|Arkansas|Greene|15|Arkansas and Missouri|19|Arkansas
04280|Arkansas|Hempstead|15|Arkansas and Missouri|19|Arkansas
04290|Arkansas|Hot Spring|15|Arkansas and Missouri|19|Arkansas
04300|Arkansas|Howard|15|Arkansas and Missouri|19|Arkansas
04310|Arkansas|Independence|15|Arkansas and Missouri|19|Arkansas
04320|Arkansas|Izard|15|Arkansas and Missouri|19|Arkansas
04330|Arkansas|Jackson|15|Arkansas and Missouri|19|Arkansas
04340|Arkansas|Jefferson|15|Arkansas and Missouri|19|Arkansas
04350|Arkansas|Johnson|15|Arkansas and Missouri|19|Arkansas
04360|Arkansas|Lafayette|15|Arkansas and Missouri|19|Arkansas
04370|Arkansas|Lawrence|15|Arkansas and Missouri|19|Arkansas
04380|Arkansas|Lee|15|Arkansas and Missouri|19|Arkansas
04390|Arkansas|Lincoln|15|Arkansas and Missouri|19|Arkansas
04400|Arkansas|Little River|15|Arkansas and Missouri|19|Arkansas
04410|Arkansas|Logan|15|Arkansas and Missouri|19|Arkansas
04420|Arkansas|Lonoke|15|Arkansas and Missouri|19|Arkansas
04430|Arkansas|Madison|15|Arkansas and Missouri|19|Arkansas
04440|Arkansas|Marion|15|Arkansas and Missouri|19|Arkansas
04450|Arkansas|Miller|15|Arkansas and Missouri|19|Arkansas
04460|Arkansas|Mississippi|15|Arkansas and Missouri|19|Arkansas
04470|Arkansas|Monroe|15|Arkansas and Missouri|19|Arkansas
04480|Arkansas|Montgomery|15|Arkansas and Missouri|19|Arkansas
04490|Arkansas|Nevada|15|Arkansas and Missouri|19|Arkansas
04500|Arkansas|Newton|15|Arkansas and Missouri|19|Arkansas
04510|Arkansas|Ouachita|15|Arkansas and Missouri|19|Arkansas
04520|Arkansas|Perry|15|Arkansas and Missouri|19|Arkansas
04530|Arkansas|Phillips|15|Arkansas and Missouri|19|Arkansas
04540|Arkansas|Pike|15|Arkansas and Missouri|19|Arkansas
04550|Arkansas|Poinsett|15|Arkansas and Missouri|19|Arkansas
04560|Arkansas|Polk|15|Arkansas and Missouri|19|Arkansas
04570|Arkansas|Pope|15|Arkansas and Missouri|19|Arkansas
04580|Arkansas|Prairie|15|Arkansas and Missouri|19|Arkansas
04590|Arkansas|Pulaski|15|Arkansas and Missouri|19|Arkansas
04600|Arkansas|Randolph|15|Arkansas and Missouri|19|Arkansas
04610|Arkansas|St. Francis|15|Arkansas and Missouri|19|Arkansas
04620|Arkansas|Saline|15|Arkansas and Missouri|19|Arkansas
04630|Arkansas|Scott|15|Arkansas and Missouri|19|Arkansas
04640|Arkansas|Searcy|15|Arkansas and Missouri|19|Arkansas
04650|Arkansas|Sebastian|15|Arkansas and Missouri|19|Arkansas
04660|Arkansas|Sevier|15|Arkansas and Missouri|19|Arkansas
04670|Arkansas|Sharp|15|Arkansas and Missouri|19|Arkansas
04680|Arkansas|Stone|15|Arkansas and Missouri|19|Arkansas
04690|Arkansas|Union|15|Arkansas and Missouri|19|Arkansas
04700|Arkansas|Van Buren|15|Arkansas and Missouri|19|Arkansas
04710|Arkansas|Washington|15|Arkansas and Missouri|19|Arkansas
04720|Arkansas|White|15|Arkansas and Missouri|19|Arkansas
04730|Arkansas|Woodruff|15|Arkansas and Missouri|19|Arkansas
04740|Arkansas|Yell|15|Arkansas and Missouri|19|Arkansas
05000|California|Alameda|24|California|32|California
05010|California|Alpine|24|California|32|California
05020|California|Amador|24|California|32|California
05030|California|Butte|24|California|32|California
05040|California|Calaveras|24|California|32|California
05050|California|Colusa|24|California|32|California
05060|California|Contra Costa|24|California|32|California
05070|California|Del Norte|24|California|32|California
05080|California|El Dorado|24|California|32|California
05090|California|Fresno|24|California|32|California
05100|California|Glenn|24|California|32|California
05110|California|Humboldt|24|California|32|California
05120|California|Imperial|24|California|32|California
05130|California|Inyo|24|California|32|California
05140|California|Kern|24|California|32|California
05150|California|Kings|24|California|32|California
05160|California|Lake|24|California|32|California
05170|California|Lassen|24|California|32|California
05200|California|Los Angeles|24|California|32|California
05201|California|Los Angeles (Partial)|24|California|32|California
05210|California|Los Angeles|24|California|32|California
05300|California|Madera|24|California|32|California
05310|California|Marin|24|California|32|California
05320|California|Mariposa|24|California|32|California
05330|California|Mendocino|24|California|32|California
05340|California|Merced|24|California|32|California
05350|California|Modoc|24|California|32|California
05360|California|Mono|24|California|32|California
05370|California|Monterey|24|California|32|California
05380|California|Napa|24|California|32|California
05390|California|Nevada|24|California|32|California
05400|California|Orange|24|California|32|California
05401|California|Orange (Partial)|24|California|32|California
05410|California|Placer|24|California|32|California
05420|California|Plumas|24|California|32|California
05430|California|Riverside|24|California|32|California
05431|California|Riverside (Partial)|24|California|32|California
05440|California|Sacramento|24|California|32|California
05450|California|San Benito|24|California|32|California
05460|California|San Bernardino|24|California|32|California
05470|California|San Diego|24|California|32|California
05480|California|San Francisco|24|California|32|California
05490|California|San Joaquin|24|California|32|California
05500|California|San Luis Obispo|24|California|32|California
05510|California|San Mateo|24|California|32|California
05520|California|Santa Barbara|24|California|32|California
05530|California|Santa Clara|24|California|32|California
05540|California|Santa Cruz|24|California|32|California
05550|California|Shasta|24|California|32|California
05560|California|Sierra|24|California|32|California
05570|California|Siskiyou|24|California|32|California
05580|California|Solano|24|California|32|California
05590|California|Sonoma|24|California|32|California
05600|California|Stanislaus|24|California|32|California
05610|California|Sutter|24|California|32|California
05620|California|Tehama|24|California|32|California
05630|California|Trinity|24|California|32|California
05640|California|Tulare|24|California|32|California
05650|California|Tuolumne|24|California|32|California
05660|California|Ventura|24|California|32|California
05670|California|Yolo|24|California|32|California
05680|California|Yuba|24|California|32|California
06000|Colorado|Adams|20|Colorado and New Mexico|27|Colorado
06010|Colorado|Alamosa|20|Colorado and New Mexico|27|Colorado
06020|Colorado|Arapahoe|20|Colorado and New Mexico|27|Colorado
06030|Colorado|Archuleta|20|Colorado and New Mexico|27|Colorado
06040|Colorado|Baca|20|Colorado and New Mexico|27|Colorado
06050|Colorado|Bent|20|Colorado and New Mexico|27|Colorado
06060|Colorado|Boulder|20|Colorado and New Mexico|27|Colorado
06064|Colorado|Broomfield|20|Colorado and New Mexico|27|Colorado
06070|Colorado|Chaffee|20|Colorado and New Mexico|27|Colorado
06080|Colorado|Cheyenne|20|Colorado and New Mexico|27|Colorado
06090|Colorado|Clear Creek|20|Colorado and New Mexico|27|Colorado
06100|Colorado|Conejos|20|Colorado and New Mexico|27|Colorado
06110|Colorado|Costilla|20|Colorado and New Mexico|27|Colorado
06120|Colorado|Crowley|20|Colorado and New Mexico|27|Colorado
06130|Colorado|Custer|20|Colorado and New Mexico|27|Colorado
06140|Colorado|Delta|20|Colorado and New Mexico|27|Colorado
06150|Colorado|Denver|20|Colorado and New Mexico|27|Colorado
06160|Colorado|Dolores|20|Colorado and New Mexico|27|Colorado
06170|Colorado|Douglas|20|Colorado and New Mexico|27|Colorado
06180|Colorado|Eagle|20|Colorado and New Mexico|27|Colorado
06190|Colorado|Elbert|20|Colorado and New Mexico|27|Colorado
06200|Colorado|El Paso|20|Colorado and New Mexico|27|Colorado
06210|Colorado|Fremont|20|Colorado and New Mexico|27|Colorado
06220|Colorado|Garfield|20|Colorado and New Mexico|27|Colorado
06230|Colorado|Gilpin|20|Colorado and New Mexico|27|Colorado
06240|Colorado|Grand|20|Colorado and New Mexico|27|Colorado
06250|Colorado|Gunnison|20|Colorado and New Mexico|27|Colorado
06260|Colorado|Hinsdale|20|Colorado and New Mexico|27|Colorado
06270|Colorado|Huerfano|20|Colorado and New Mexico|27|Colorado
06280|Colorado|Jackson|20|Colorado and New Mexico|27|Colorado
06290|Colorado|Jefferson|20|Colorado and New Mexico|27|Colorado
06300|Colorado|Kiowa|20|Colorado and New Mexico|27|Colorado
06310|Colorado|Kit Carson|20|Colorado and New Mexico|27|Colorado
06320|Colorado|Lake|20|Colorado and New Mexico|27|Colorado
06330|Colorado|La Plata|20|Colorado and New Mexico|27|Colorado
06340|Colorado|Larimer|20|Colorado and New Mexico|27|Colorado
06350|Colorado|Las Animas|20|Colorado and New Mexico|27|Colorado
06360|Colorado|Lincoln|20|Colorado and New Mexico|27|Colorado
06370|Colorado|Logan|20|Colorado and New Mexico|27|Colorado
